Search_Parm,Resource,Search_Pram_Type,Expression
encounter,RiskAssessment,reference,RiskAssessment.encounter
encounter,ServiceRequest,reference,ServiceRequest.encounter
encounter,VisionPrescription,reference,VisionPrescription.encounter
entry,Composition,reference,Composition.section.entry
period,Composition,date,Composition.event.period
related-id,Composition,token,
related-ref,Composition,reference,
section,Composition,token,Composition.section.code
status,Composition,token,Composition.status
subject,Composition,reference,Composition.subject
title,Composition,string,Composition.title
dependson,ConceptMap,uri,ConceptMap.group.element.target.dependsOn.property
other,ConceptMap,reference,ConceptMap.group.unmapped.url
product,ConceptMap,uri,ConceptMap.group.element.target.product.property
source,ConceptMap,reference,
source-code,ConceptMap,token,ConceptMap.group.element.code
source-system,ConceptMap,uri,ConceptMap.group.source
source-uri,ConceptMap,reference,
target,ConceptMap,reference,
target-code,ConceptMap,token,ConceptMap.group.element.target.code
target-system,ConceptMap,uri,ConceptMap.group.target
target-uri,ConceptMap,reference,
abatement-age,Condition,quantity,Condition.abatement.as
abatement-date,Condition,date,Condition.abatement.as
abatement-string,Condition,string,Condition.abatement.as
asserter,Condition,reference,Condition.asserter
body-site,Condition,token,Condition.bodySite
category,Condition,token,Condition.category
clinical-status,Condition,token,Condition.clinicalStatus
encounter,Condition,reference,Condition.encounter
evidence,Condition,token,Condition.evidence.code
evidence-detail,Condition,reference,Condition.evidence.detail
onset-age,Condition,quantity,Condition.onset.as
onset-date,Condition,date,Condition.onset.as
onset-info,Condition,string,Condition.onset.as
recorded-date,Condition,date,Condition.recordedDate
severity,Condition,token,Condition.severity
stage,Condition,token,Condition.stage.summary
subject,Condition,reference,Condition.subject
verification-status,Condition,token,Condition.verificationStatus
action,Consent,token,Consent.provision.action
actor,Consent,reference,Consent.provision.actor.reference
category,Consent,token,Consent.category
consentor,Consent,reference,Consent.performer
data,Consent,reference,Consent.provision.data.reference
organization,Consent,reference,Consent.organization
period,Consent,date,Consent.provision.period
purpose,Consent,token,Consent.provision.purpose
scope,Consent,token,Consent.scope
security-label,Consent,token,Consent.provision.securityLabel
source-reference,Consent,reference,Consent.source
status,Consent,token,Consent.status
authority,Contract,reference,Contract.authority
domain,Contract,reference,Contract.domain
identifier,Contract,token,Contract.identifier
instantiates,Contract,uri,Contract.instantiatesUri
issued,Contract,date,Contract.issued
patient,Contract,reference,Contract.subject.where(resolve() is Patient)
signer,Contract,reference,Contract.signer.party
status,Contract,token,Contract.status
subject,Contract,reference,Contract.subject
url,Contract,uri,Contract.url
beneficiary,Coverage,reference,Coverage.beneficiary
class-type,Coverage,token,Coverage.class.type
class-value,Coverage,string,Coverage.class.value
dependent,Coverage,string,Coverage.dependent
identifier,Coverage,token,Coverage.identifier
patient,Coverage,reference,Coverage.beneficiary
payor,Coverage,reference,Coverage.payor
policy-holder,Coverage,reference,Coverage.policyHolder
status,Coverage,token,Coverage.status
subscriber,Coverage,reference,Coverage.subscriber
type,Coverage,token,Coverage.type
created,CoverageEligibilityRequest,date,CoverageEligibilityRequest.created
enterer,CoverageEligibilityRequest,reference,CoverageEligibilityRequest.enterer
facility,CoverageEligibilityRequest,reference,CoverageEligibilityRequest.facility
identifier,CoverageEligibilityRequest,token,CoverageEligibilityRequest.identifier
patient,CoverageEligibilityRequest,reference,CoverageEligibilityRequest.patient
provider,CoverageEligibilityRequest,reference,CoverageEligibilityRequest.provider
status,CoverageEligibilityRequest,token,CoverageEligibilityRequest.status
created,CoverageEligibilityResponse,date,CoverageEligibilityResponse.created
disposition,CoverageEligibilityResponse,string,CoverageEligibilityResponse.disposition
identifier,CoverageEligibilityResponse,token,CoverageEligibilityResponse.identifier
insurer,CoverageEligibilityResponse,reference,CoverageEligibilityResponse.insurer
outcome,CoverageEligibilityResponse,token,CoverageEligibilityResponse.outcome
patient,CoverageEligibilityResponse,reference,CoverageEligibilityResponse.patient
request,CoverageEligibilityResponse,reference,CoverageEligibilityResponse.request
requestor,CoverageEligibilityResponse,reference,CoverageEligibilityResponse.requestor
status,CoverageEligibilityResponse,token,CoverageEligibilityResponse.status
author,DetectedIssue,reference,DetectedIssue.author
code,DetectedIssue,token,DetectedIssue.code
identified,DetectedIssue,date,DetectedIssue.identified
implicated,DetectedIssue,reference,DetectedIssue.implicated
device-name,Device,string,Device.deviceName.name 
identifier,Device,token,Device.identifier
location,Device,reference,Device.location
manufacturer,Device,string,Device.manufacturer
model,Device,string,Device.modelNumber
organization,Device,reference,Device.owner
patient,Device,reference,Device.patient
status,Device,token,Device.status
type,Device,token,Device.type
udi-carrier,Device,string,Device.udiCarrier.carrierHRF
udi-di,Device,string,Device.udiCarrier.deviceIdentifier
url,Device,uri,Device.url
identifier,DeviceDefinition,token,DeviceDefinition.identifier
parent,DeviceDefinition,reference,DeviceDefinition.parentDevice
type,DeviceDefinition,token,DeviceDefinition.type
category,DeviceMetric,token,DeviceMetric.category
identifier,DeviceMetric,token,DeviceMetric.identifier
parent,DeviceMetric,reference,DeviceMetric.parent
source,DeviceMetric,reference,DeviceMetric.source
type,DeviceMetric,token,DeviceMetric.type
authored-on,DeviceRequest,date,DeviceRequest.authoredOn
based-on,DeviceRequest,reference,DeviceRequest.basedOn
device,DeviceRequest,reference,
event-date,DeviceRequest,date,
group-identifier,DeviceRequest,token,DeviceRequest.groupIdentifier
instantiates-canonical,DeviceRequest,reference,DeviceRequest.instantiatesCanonical
instantiates-uri,DeviceRequest,uri,DeviceRequest.instantiatesUri
insurance,DeviceRequest,reference,DeviceRequest.insurance
intent,DeviceRequest,token,DeviceRequest.intent
performer,DeviceRequest,reference,DeviceRequest.performer
prior-request,DeviceRequest,reference,DeviceRequest.priorRequest
requester,DeviceRequest,reference,DeviceRequest.requester
status,DeviceRequest,token,DeviceRequest.status
subject,DeviceRequest,reference,DeviceRequest.subject
device,DeviceUseStatement,reference,DeviceUseStatement.device
identifier,DeviceUseStatement,token,DeviceUseStatement.identifier
subject,DeviceUseStatement,reference,DeviceUseStatement.subject
based-on,DiagnosticReport,reference,DiagnosticReport.basedOn
category,DiagnosticReport,token,DiagnosticReport.category
conclusion,DiagnosticReport,token,DiagnosticReport.conclusionCode
issued,DiagnosticReport,date,DiagnosticReport.issued
media,DiagnosticReport,reference,DiagnosticReport.media.link
performer,DiagnosticReport,reference,DiagnosticReport.performer
result,DiagnosticReport,reference,DiagnosticReport.result
results-interpreter,DiagnosticReport,reference,DiagnosticReport.resultsInterpreter
specimen,DiagnosticReport,reference,DiagnosticReport.specimen
status,DiagnosticReport,token,DiagnosticReport.status
subject,DiagnosticReport,reference,DiagnosticReport.subject
author,DocumentManifest,reference,DocumentManifest.author
created,DocumentManifest,date,DocumentManifest.created
description,DocumentManifest,string,DocumentManifest.description
item,DocumentManifest,reference,DocumentManifest.content
recipient,DocumentManifest,reference,DocumentManifest.recipient
related-id,DocumentManifest,token,DocumentManifest.related.identifier
related-ref,DocumentManifest,reference,DocumentManifest.related.ref
source,DocumentManifest,uri,DocumentManifest.source
status,DocumentManifest,token,DocumentManifest.status
subject,DocumentManifest,reference,DocumentManifest.subject
authenticator,DocumentReference,reference,DocumentReference.authenticator
author,DocumentReference,reference,DocumentReference.author
category,DocumentReference,token,DocumentReference.category
contenttype,DocumentReference,token,DocumentReference.content.attachment.contentType
custodian,DocumentReference,reference,DocumentReference.custodian
date,DocumentReference,date,DocumentReference.date
description,DocumentReference,string,DocumentReference.description
event,DocumentReference,token,DocumentReference.context.event
facility,DocumentReference,token,DocumentReference.context.facilityType
format,DocumentReference,token,DocumentReference.content.format
language,DocumentReference,token,DocumentReference.content.attachment.language
location,DocumentReference,uri,DocumentReference.content.attachment.url
period,DocumentReference,date,DocumentReference.context.period
related,DocumentReference,reference,DocumentReference.context.related
relatesto,DocumentReference,reference,DocumentReference.relatesTo.target
relation,DocumentReference,token,DocumentReference.relatesTo.code
security-label,DocumentReference,token,DocumentReference.securityLabel
setting,DocumentReference,token,DocumentReference.context.practiceSetting
status,DocumentReference,token,DocumentReference.status
subject,DocumentReference,reference,DocumentReference.subject
relationship,DocumentReference,composite,DocumentReference.relatesTo
context,EffectEvidenceSynthesis,token,
context-quantity,EffectEvidenceSynthesis,quantity,
context-type,EffectEvidenceSynthesis,token,EffectEvidenceSynthesis.useContext.code
date,EffectEvidenceSynthesis,date,EffectEvidenceSynthesis.date
description,EffectEvidenceSynthesis,string,EffectEvidenceSynthesis.description
effective,EffectEvidenceSynthesis,date,EffectEvidenceSynthesis.effectivePeriod
identifier,EffectEvidenceSynthesis,token,EffectEvidenceSynthesis.identifier
jurisdiction,EffectEvidenceSynthesis,token,EffectEvidenceSynthesis.jurisdiction
name,EffectEvidenceSynthesis,string,EffectEvidenceSynthesis.name
publisher,EffectEvidenceSynthesis,string,EffectEvidenceSynthesis.publisher
status,EffectEvidenceSynthesis,token,EffectEvidenceSynthesis.status
title,EffectEvidenceSynthesis,string,EffectEvidenceSynthesis.title
url,EffectEvidenceSynthesis,uri,EffectEvidenceSynthesis.url
version,EffectEvidenceSynthesis,token,EffectEvidenceSynthesis.version
context-type-quantity,EffectEvidenceSynthesis,composite,EffectEvidenceSynthesis.useContext
context-type-value,EffectEvidenceSynthesis,composite,EffectEvidenceSynthesis.useContext
account,Encounter,reference,Encounter.account
appointment,Encounter,reference,Encounter.appointment
based-on,Encounter,reference,Encounter.basedOn
class,Encounter,token,Encounter.class
diagnosis,Encounter,reference,Encounter.diagnosis.condition
episode-of-care,Encounter,reference,Encounter.episodeOfCare
length,Encounter,quantity,Encounter.length
location,Encounter,reference,Encounter.location.location
location-period,Encounter,date,Encounter.location.period
part-of,Encounter,reference,Encounter.partOf
participant,Encounter,reference,Encounter.participant.individual
participant-type,Encounter,token,Encounter.participant.type
practitioner,Encounter,reference,Encounter.participant.individual.where(resolve() is Practitioner)
reason-code,Encounter,token,Encounter.reasonCode
reason-reference,Encounter,reference,Encounter.reasonReference
service-provider,Encounter,reference,Encounter.serviceProvider
special-arrangement,Encounter,token,Encounter.hospitalization.specialArrangement
status,Encounter,token,Encounter.status
subject,Encounter,reference,Encounter.subject
connection-type,Endpoint,token,Endpoint.connectionType
identifier,Endpoint,token,Endpoint.identifier
name,Endpoint,string,Endpoint.name
organization,Endpoint,reference,Endpoint.managingOrganization
payload-type,Endpoint,token,Endpoint.payloadType
status,Endpoint,token,Endpoint.status
identifier,EnrollmentRequest,token,EnrollmentRequest.identifier
patient,EnrollmentRequest,reference,EnrollmentRequest.candidate
status,EnrollmentRequest,token,EnrollmentRequest.status
subject,EnrollmentRequest,reference,EnrollmentRequest.candidate
identifier,EnrollmentResponse,token,EnrollmentResponse.identifier
request,EnrollmentResponse,reference,EnrollmentResponse.request
status,EnrollmentResponse,token,EnrollmentResponse.status
care-manager,EpisodeOfCare,reference,EpisodeOfCare.careManager.where(resolve() is Practitioner)
condition,EpisodeOfCare,reference,EpisodeOfCare.diagnosis.condition
incoming-referral,EpisodeOfCare,reference,EpisodeOfCare.referralRequest
organization,EpisodeOfCare,reference,EpisodeOfCare.managingOrganization
status,EpisodeOfCare,token,EpisodeOfCare.status
composed-of,EventDefinition,reference,EventDefinition.relatedArtifact.where(type='composed-of').resource
context,EventDefinition,token,
context-quantity,EventDefinition,quantity,
context-type,EventDefinition,token,EventDefinition.useContext.code
date,EventDefinition,date,EventDefinition.date
depends-on,EventDefinition,reference,EventDefinition.relatedArtifact.where(type='depends-on').resource
derived-from,EventDefinition,reference,EventDefinition.relatedArtifact.where(type='derived-from').resource
description,EventDefinition,string,EventDefinition.description
effective,EventDefinition,date,EventDefinition.effectivePeriod
identifier,EventDefinition,token,EventDefinition.identifier
jurisdiction,EventDefinition,token,EventDefinition.jurisdiction
name,EventDefinition,string,EventDefinition.name
predecessor,EventDefinition,reference,EventDefinition.relatedArtifact.where(type='predecessor').resource
publisher,EventDefinition,string,EventDefinition.publisher
status,EventDefinition,token,EventDefinition.status
successor,EventDefinition,reference,EventDefinition.relatedArtifact.where(type='successor').resource
title,EventDefinition,string,EventDefinition.title
topic,EventDefinition,token,EventDefinition.topic
url,EventDefinition,uri,EventDefinition.url
version,EventDefinition,token,EventDefinition.version
context-type-quantity,EventDefinition,composite,EventDefinition.useContext
context-type-value,EventDefinition,composite,EventDefinition.useContext
composed-of,Evidence,reference,Evidence.relatedArtifact.where(type='composed-of').resource
context,Evidence,token,
context-quantity,Evidence,quantity,
context-type,Evidence,token,Evidence.useContext.code
date,Evidence,date,Evidence.date
depends-on,Evidence,reference,Evidence.relatedArtifact.where(type='depends-on').resource
derived-from,Evidence,reference,Evidence.relatedArtifact.where(type='derived-from').resource
description,Evidence,string,Evidence.description
effective,Evidence,date,Evidence.effectivePeriod
identifier,Evidence,token,Evidence.identifier
jurisdiction,Evidence,token,Evidence.jurisdiction
name,Evidence,string,Evidence.name
predecessor,Evidence,reference,Evidence.relatedArtifact.where(type='predecessor').resource
publisher,Evidence,string,Evidence.publisher
status,Evidence,token,Evidence.status
successor,Evidence,reference,Evidence.relatedArtifact.where(type='successor').resource
title,Evidence,string,Evidence.title
topic,Evidence,token,Evidence.topic
url,Evidence,uri,Evidence.url
version,Evidence,token,Evidence.version
context-type-quantity,Evidence,composite,Evidence.useContext
context-type-value,Evidence,composite,Evidence.useContext
composed-of,EvidenceVariable,reference,EvidenceVariable.relatedArtifact.where(type='composed-of').resource
context,EvidenceVariable,token,
context-quantity,EvidenceVariable,quantity,
context-type,EvidenceVariable,token,EvidenceVariable.useContext.code
date,EvidenceVariable,date,EvidenceVariable.date
depends-on,EvidenceVariable,reference,EvidenceVariable.relatedArtifact.where(type='depends-on').resource
derived-from,EvidenceVariable,reference,EvidenceVariable.relatedArtifact.where(type='derived-from').resource
description,EvidenceVariable,string,EvidenceVariable.description
effective,EvidenceVariable,date,EvidenceVariable.effectivePeriod
identifier,EvidenceVariable,token,EvidenceVariable.identifier
jurisdiction,EvidenceVariable,token,EvidenceVariable.jurisdiction
name,EvidenceVariable,string,EvidenceVariable.name
predecessor,EvidenceVariable,reference,EvidenceVariable.relatedArtifact.where(type='predecessor').resource
publisher,EvidenceVariable,string,EvidenceVariable.publisher
status,EvidenceVariable,token,EvidenceVariable.status
successor,EvidenceVariable,reference,EvidenceVariable.relatedArtifact.where(type='successor').resource
title,EvidenceVariable,string,EvidenceVariable.title
topic,EvidenceVariable,token,EvidenceVariable.topic
url,EvidenceVariable,uri,EvidenceVariable.url
version,EvidenceVariable,token,EvidenceVariable.version
context-type-quantity,EvidenceVariable,composite,EvidenceVariable.useContext
context-type-value,EvidenceVariable,composite,EvidenceVariable.useContext
context,ExampleScenario,token,
context-quantity,ExampleScenario,quantity,
context-type,ExampleScenario,token,ExampleScenario.useContext.code
date,ExampleScenario,date,ExampleScenario.date
identifier,ExampleScenario,token,ExampleScenario.identifier
jurisdiction,ExampleScenario,token,ExampleScenario.jurisdiction
name,ExampleScenario,string,ExampleScenario.name
publisher,ExampleScenario,string,ExampleScenario.publisher
status,ExampleScenario,token,ExampleScenario.status
url,ExampleScenario,uri,ExampleScenario.url
version,ExampleScenario,token,ExampleScenario.version
context-type-quantity,ExampleScenario,composite,ExampleScenario.useContext
context-type-value,ExampleScenario,composite,ExampleScenario.useContext
care-team,ExplanationOfBenefit,reference,ExplanationOfBenefit.careTeam.provider
claim,ExplanationOfBenefit,reference,ExplanationOfBenefit.claim
coverage,ExplanationOfBenefit,reference,ExplanationOfBenefit.insurance.coverage
created,ExplanationOfBenefit,date,ExplanationOfBenefit.created
detail-udi,ExplanationOfBenefit,reference,ExplanationOfBenefit.item.detail.udi
disposition,ExplanationOfBenefit,string,ExplanationOfBenefit.disposition
encounter,ExplanationOfBenefit,reference,ExplanationOfBenefit.item.encounter
enterer,ExplanationOfBenefit,reference,ExplanationOfBenefit.enterer
facility,ExplanationOfBenefit,reference,ExplanationOfBenefit.facility
identifier,ExplanationOfBenefit,token,ExplanationOfBenefit.identifier
item-udi,ExplanationOfBenefit,reference,ExplanationOfBenefit.item.udi
patient,ExplanationOfBenefit,reference,ExplanationOfBenefit.patient
payee,ExplanationOfBenefit,reference,ExplanationOfBenefit.payee.party
procedure-udi,ExplanationOfBenefit,reference,ExplanationOfBenefit.procedure.udi
provider,ExplanationOfBenefit,reference,ExplanationOfBenefit.provider
status,ExplanationOfBenefit,token,ExplanationOfBenefit.status
subdetail-udi,ExplanationOfBenefit,reference,ExplanationOfBenefit.item.detail.subDetail.udi
instantiates-canonical,FamilyMemberHistory,reference,FamilyMemberHistory.instantiatesCanonical
instantiates-uri,FamilyMemberHistory,uri,FamilyMemberHistory.instantiatesUri
relationship,FamilyMemberHistory,token,FamilyMemberHistory.relationship
sex,FamilyMemberHistory,token,FamilyMemberHistory.sex
status,FamilyMemberHistory,token,FamilyMemberHistory.status
author,Flag,reference,Flag.author
identifier,Flag,token,Flag.identifier
subject,Flag,reference,Flag.subject
achievement-status,Goal,token,Goal.achievementStatus
category,Goal,token,Goal.category
lifecycle-status,Goal,token,Goal.lifecycleStatus
start-date,Goal,date,
subject,Goal,reference,Goal.subject
target-date,Goal,date,
start,GraphDefinition,token,GraphDefinition.start
actual,Group,token,Group.actual
characteristic,Group,token,Group.characteristic.code
code,Group,token,Group.code
exclude,Group,token,Group.characteristic.exclude
identifier,Group,token,Group.identifier
managing-entity,Group,reference,Group.managingEntity
member,Group,reference,Group.member.entity
type,Group,token,Group.type
value,Group,token,
characteristic-value,Group,composite,Group.characteristic
identifier,GuidanceResponse,token,GuidanceResponse.identifier
patient,GuidanceResponse,reference,GuidanceResponse.subject.where(resolve() is Patient)
request,GuidanceResponse,token,GuidanceResponse.requestIdentifier
subject,GuidanceResponse,reference,GuidanceResponse.subject
active,HealthcareService,token,HealthcareService.active
characteristic,HealthcareService,token,HealthcareService.characteristic
coverage-area,HealthcareService,reference,HealthcareService.coverageArea
endpoint,HealthcareService,reference,HealthcareService.endpoint
identifier,HealthcareService,token,HealthcareService.identifier
location,HealthcareService,reference,HealthcareService.location
name,HealthcareService,string,HealthcareService.name
organization,HealthcareService,reference,HealthcareService.providedBy
program,HealthcareService,token,HealthcareService.program
service-category,HealthcareService,token,HealthcareService.category
service-type,HealthcareService,token,HealthcareService.type
specialty,HealthcareService,token,HealthcareService.specialty
basedon,ImagingStudy,reference,ImagingStudy.basedOn
bodysite,ImagingStudy,token,ImagingStudy.series.bodySite
dicom-class,ImagingStudy,token,ImagingStudy.series.instance.sopClass
encounter,ImagingStudy,reference,ImagingStudy.encounter
endpoint,ImagingStudy,reference,ImagingStudy.endpoint 
instance,ImagingStudy,token,ImagingStudy.series.instance.uid
interpreter,ImagingStudy,reference,ImagingStudy.interpreter
modality,ImagingStudy,token,ImagingStudy.series.modality
performer,ImagingStudy,reference,ImagingStudy.series.performer.actor
reason,ImagingStudy,token,ImagingStudy.reasonCode
referrer,ImagingStudy,reference,ImagingStudy.referrer
series,ImagingStudy,token,ImagingStudy.series.uid
started,ImagingStudy,date,ImagingStudy.started
status,ImagingStudy,token,ImagingStudy.status
subject,ImagingStudy,reference,ImagingStudy.subject
location,Immunization,reference,Immunization.location
lot-number,Immunization,string,Immunization.lotNumber
manufacturer,Immunization,reference,Immunization.manufacturer
performer,Immunization,reference,Immunization.performer.actor
reaction,Immunization,reference,Immunization.reaction.detail
reaction-date,Immunization,date,Immunization.reaction.date
reason-code,Immunization,token,Immunization.reasonCode
reason-reference,Immunization,reference,Immunization.reasonReference
series,Immunization,string,Immunization.protocolApplied.series
status,Immunization,token,Immunization.status
status-reason,Immunization,token,Immunization.statusReason
target-disease,Immunization,token,Immunization.protocolApplied.targetDisease
vaccine-code,Immunization,token,Immunization.vaccineCode
date,ImmunizationEvaluation,date,ImmunizationEvaluation.date
dose-status,ImmunizationEvaluation,token,ImmunizationEvaluation.doseStatus
identifier,ImmunizationEvaluation,token,ImmunizationEvaluation.identifier
immunization-event,ImmunizationEvaluation,reference,ImmunizationEvaluation.immunizationEvent
patient,ImmunizationEvaluation,reference,ImmunizationEvaluation.patient
status,ImmunizationEvaluation,token,ImmunizationEvaluation.status
target-disease,ImmunizationEvaluation,token,ImmunizationEvaluation.targetDisease
date,ImmunizationRecommendation,date,ImmunizationRecommendation.date
identifier,ImmunizationRecommendation,token,ImmunizationRecommendation.identifier
information,ImmunizationRecommendation,reference,ImmunizationRecommendation.recommendation.supportingPatientInformation
patient,ImmunizationRecommendation,reference,ImmunizationRecommendation.patient
status,ImmunizationRecommendation,token,ImmunizationRecommendation.recommendation.forecastStatus
support,ImmunizationRecommendation,reference,ImmunizationRecommendation.recommendation.supportingImmunization
target-disease,ImmunizationRecommendation,token,ImmunizationRecommendation.recommendation.targetDisease
vaccine-type,ImmunizationRecommendation,token,ImmunizationRecommendation.recommendation.vaccineCode
depends-on,ImplementationGuide,reference,ImplementationGuide.dependsOn.uri
experimental,ImplementationGuide,token,ImplementationGuide.experimental
global,ImplementationGuide,reference,ImplementationGuide.global.profile
resource,ImplementationGuide,reference,ImplementationGuide.definition.resource.reference
address,InsurancePlan,string,InsurancePlan.contact.address
address-city,InsurancePlan,string,InsurancePlan.contact.address.city
address-country,InsurancePlan,string,InsurancePlan.contact.address.country
address-postalcode,InsurancePlan,string,InsurancePlan.contact.address.postalCode
address-state,InsurancePlan,string,InsurancePlan.contact.address.state
address-use,InsurancePlan,token,InsurancePlan.contact.address.use
administered-by,InsurancePlan,reference,InsurancePlan.administeredBy
endpoint,InsurancePlan,reference,InsurancePlan.endpoint
identifier,InsurancePlan,token,InsurancePlan.identifier
name,InsurancePlan,string,name 
owned-by,InsurancePlan,reference,InsurancePlan.ownedBy
phonetic,InsurancePlan,string,InsurancePlan.name
status,InsurancePlan,token,InsurancePlan.status
type,InsurancePlan,token,InsurancePlan.type
account,Invoice,reference,Invoice.account
date,Invoice,date,Invoice.date
identifier,Invoice,token,Invoice.identifier
issuer,Invoice,reference,Invoice.issuer
participant,Invoice,reference,Invoice.participant.actor
participant-role,Invoice,token,Invoice.participant.role
patient,Invoice,reference,Invoice.subject.where(resolve() is Patient)
recipient,Invoice,reference,Invoice.recipient
status,Invoice,token,Invoice.status
subject,Invoice,reference,Invoice.subject
totalgross,Invoice,quantity,Invoice.totalGross
totalnet,Invoice,quantity,Invoice.totalNet
type,Invoice,token,Invoice.type
composed-of,Library,reference,Library.relatedArtifact.where(type='composed-of').resource
content-type,Library,token,Library.content.contentType
context,Library,token,
context-quantity,Library,quantity,
context-type,Library,token,Library.useContext.code
date,Library,date,Library.date
depends-on,Library,reference,Library.relatedArtifact.where(type='depends-on').resource
derived-from,Library,reference,Library.relatedArtifact.where(type='derived-from').resource
description,Library,string,Library.description
effective,Library,date,Library.effectivePeriod
identifier,Library,token,Library.identifier
jurisdiction,Library,token,Library.jurisdiction
name,Library,string,Library.name
predecessor,Library,reference,Library.relatedArtifact.where(type='predecessor').resource
publisher,Library,string,Library.publisher
status,Library,token,Library.status
successor,Library,reference,Library.relatedArtifact.where(type='successor').resource
title,Library,string,Library.title
topic,Library,token,Library.topic
type,Library,token,Library.type
url,Library,uri,Library.url
version,Library,token,Library.version
context-type-quantity,Library,composite,Library.useContext
context-type-value,Library,composite,Library.useContext
author,Linkage,reference,Linkage.author
item,Linkage,reference,Linkage.item.resource
source,Linkage,reference,Linkage.item.resource
empty-reason,List,token,List.emptyReason
item,List,reference,List.entry.item
notes,List,string,List.note.text
source,List,reference,List.source
status,List,token,List.status
subject,List,reference,List.subject
title,List,string,List.title
address,Location,string,Location.address
address-city,Location,string,Location.address.city
address-country,Location,string,Location.address.country
address-postalcode,Location,string,Location.address.postalCode
address-state,Location,string,Location.address.state
address-use,Location,token,Location.address.use
endpoint,Location,reference,Location.endpoint
identifier,Location,token,Location.identifier
name,Location,string,Location.name 
near,Location,special,Location.position
operational-status,Location,token,Location.operationalStatus
organization,Location,reference,Location.managingOrganization
partof,Location,reference,Location.partOf
status,Location,token,Location.status
type,Location,token,Location.type
composed-of,Measure,reference,Measure.relatedArtifact.where(type='composed-of').resource
context,Measure,token,
context-quantity,Measure,quantity,
context-type,Measure,token,Measure.useContext.code
date,Measure,date,Measure.date
depends-on,Measure,reference,Measure.relatedArtifact.where(type='depends-on').resource
derived-from,Measure,reference,Measure.relatedArtifact.where(type='derived-from').resource
description,Measure,string,Measure.description
effective,Measure,date,Measure.effectivePeriod
identifier,Measure,token,Measure.identifier
jurisdiction,Measure,token,Measure.jurisdiction
name,Measure,string,Measure.name
predecessor,Measure,reference,Measure.relatedArtifact.where(type='predecessor').resource
publisher,Measure,string,Measure.publisher
status,Measure,token,Measure.status
successor,Measure,reference,Measure.relatedArtifact.where(type='successor').resource
title,Measure,string,Measure.title
topic,Measure,token,Measure.topic
url,Measure,uri,Measure.url
version,Measure,token,Measure.version
context-type-quantity,Measure,composite,Measure.useContext
context-type-value,Measure,composite,Measure.useContext
date,MeasureReport,date,MeasureReport.date
evaluated-resource,MeasureReport,reference,MeasureReport.evaluatedResource
identifier,MeasureReport,token,MeasureReport.identifier
measure,MeasureReport,reference,MeasureReport.measure
patient,MeasureReport,reference,MeasureReport.subject.where(resolve() is Patient)
period,MeasureReport,date,MeasureReport.period
reporter,MeasureReport,reference,MeasureReport.reporter
status,MeasureReport,token,MeasureReport.status
subject,MeasureReport,reference,MeasureReport.subject
based-on,Media,reference,Media.basedOn
created,Media,date,Media.created
device,Media,reference,Media.device
encounter,Media,reference,Media.encounter
identifier,Media,token,Media.identifier
modality,Media,token,Media.modality
operator,Media,reference,Media.operator
patient,Media,reference,Media.subject.where(resolve() is Patient)
site,Media,token,Media.bodySite
status,Media,token,Media.status
subject,Media,reference,Media.subject
type,Media,token,Media.type
view,Media,token,Media.view
expiration-date,Medication,date,Medication.batch.expirationDate
form,Medication,token,Medication.form
identifier,Medication,token,Medication.identifier
ingredient,Medication,reference,
ingredient-code,Medication,token,
lot-number,Medication,token,Medication.batch.lotNumber
manufacturer,Medication,reference,Medication.manufacturer
status,Medication,token,Medication.status
context,MedicationAdministration,reference,MedicationAdministration.context
device,MedicationAdministration,reference,MedicationAdministration.device
effective-time,MedicationAdministration,date,MedicationAdministration.effective
medication,MedicationAdministration,reference,
medication,MedicationDispense,reference,
medication,MedicationRequest,reference,
medication,MedicationStatement,reference,
performer,MedicationAdministration,reference,MedicationAdministration.performer.actor
reason-given,MedicationAdministration,token,MedicationAdministration.reasonCode
reason-not-given,MedicationAdministration,token,MedicationAdministration.statusReason
request,MedicationAdministration,reference,MedicationAdministration.request
status,MedicationAdministration,token,MedicationAdministration.status
status,MedicationDispense,token,MedicationDispense.status
status,MedicationRequest,token,MedicationRequest.status
status,MedicationStatement,token,MedicationStatement.status
subject,MedicationAdministration,reference,MedicationAdministration.subject
context,MedicationDispense,reference,MedicationDispense.context
destination,MedicationDispense,reference,MedicationDispense.destination
performer,MedicationDispense,reference,MedicationDispense.performer.actor
prescription,MedicationDispense,reference,MedicationDispense.authorizingPrescription
receiver,MedicationDispense,reference,MedicationDispense.receiver
responsibleparty,MedicationDispense,reference,MedicationDispense.substitution.responsibleParty
subject,MedicationDispense,reference,MedicationDispense.subject
type,MedicationDispense,token,MedicationDispense.type
whenhandedover,MedicationDispense,date,MedicationDispense.whenHandedOver
whenprepared,MedicationDispense,date,MedicationDispense.whenPrepared
classification,MedicationKnowledge,token,MedicationKnowledge.medicineClassification.classification
classification-type,MedicationKnowledge,token,MedicationKnowledge.medicineClassification.type
code,MedicationKnowledge,token,MedicationKnowledge.code
doseform,MedicationKnowledge,token,MedicationKnowledge.doseForm
ingredient,MedicationKnowledge,reference,
ingredient-code,MedicationKnowledge,token,
manufacturer,MedicationKnowledge,reference,MedicationKnowledge.manufacturer
monitoring-program-name,MedicationKnowledge,token,MedicationKnowledge.monitoringProgram.name
monitoring-program-type,MedicationKnowledge,token,MedicationKnowledge.monitoringProgram.type
